program	class	m3_vs_m4	m3_vs_ref	m4_vs_ref
074_pat_star_var_cursor	IDENTICAL	=	=	=
075_pat_arbno_star_backtrack	IDENTICAL	=	=	=
100_pat_fence_two_alts_first	IDENTICAL	=	=	=
101_pat_fence_falls_through	IDENTICAL	=	=	=
102_pat_fence_complete_fail	IDENTICAL	=	=	=
103_pat_fence_in_concat	IDENTICAL	=	=	=
104_pat_fence_seals_back_in_concat	IDENTICAL	=	=	=
105_pat_fence_empty	IDENTICAL	=	=	=
106_pat_fence_with_capture	IDENTICAL	=	=	=
107_pat_fence_nested	IDENTICAL	=	=	=
108_pat_fence_via_var_basic	IDENTICAL	=	=	=
109_pat_fence_via_var_seal_blocks_retry	IDENTICAL	=	=	=
110_pat_fence_via_var_then_extra	IDENTICAL	=	=	=
111_pat_fence_via_var_falls_to_outer	IDENTICAL	=	=	=
112_pat_fence_via_var_two_in_concat	IDENTICAL	=	=	=
113_pat_fence_via_var_two_with_seal_retry	IDENTICAL	=	=	=
114_pat_fence_via_var_in_paren_alt	M3-MISS	-	-	-
115_pat_fence_via_var_recursive	M3-MISS	-	-	-
116_pat_arbno_of_fence_inline	IDENTICAL	=	=	=
117_pat_arbno_of_star_var_fence	IDENTICAL	=	=	=
118_pat_arbno_of_star_var_fence_seal_blocks	IDENTICAL	=	=	=
119_pat_arbno_of_fence_via_var_via_outer	IDENTICAL	=	=	=
120_pat_calc_add	M3-MISS	-	-	-
121_pat_calc_op_dispatch	DIFFER	DIFF	=	DIFF
122_pat_calc_seal_prefix	IDENTICAL	=	=	=
123_pat_regex_alt_class	IDENTICAL	=	=	=
124_pat_regex_keyword_seal	M3-MISS	-	-	-
125_pat_json_literal	IDENTICAL	=	=	=
126_pat_json_number	M3-MISS	-	-	-
127_pat_json_keyvalue	M3-MISS	-	-	-
128_pat_recursive_grammar_right_rec	M3-MISS	-	-	-
129_pat_arbno_star_var_fence_with_alts	IDENTICAL	=	=	=
130_pat_two_star_fence_concat_outer	M3-MISS	-	-	-
131_pat_boolean_expr_grammar	M3-MISS	-	-	-
132_pat_fence_eps_recur_shallow	M3-MISS	-	-	-
133_pat_fence_eps_recur_deep	M3-MISS	-	-	-
134_pat_fence_eps_recur_stress	M3-MISS	-	-	-
135_pat_balanced_parens_shallow	M3-MISS	-	-	-
136_pat_balanced_parens_deep	M3-MISS	-	-	-
137_pat_balanced_mixed	M3-MISS	-	-	-
138_pat_calc_paren_expr	M3-MISS	-	-	-
139_pat_calc_paren_deep	M3-MISS	-	-	-
