# nqp_key	sc_name -- the census key of each Perl6/Grammar.nqp declaration and the Snocone pattern it becomes
startstops/starter	ss3_starter
Perl6::Grammar/infix:sym«~<»	g_infix__x7ex3c
Perl6::Grammar/infix:sym«~>»	g_infix__x7ex3e
Perl6::Grammar/infix:sym«<<»	g_infix__x3cx3c
Perl6::Grammar/infix:sym«>>»	g_infix__x3ex3e
Perl6::Grammar/infix:sym<+>	g_infix__x2b
Perl6::Grammar/infix:sym<->	g_infix__x2d
Perl6::Grammar/infix:sym<−>	g_infix__u2212
Perl6::Grammar/infix:sym<+|>	g_infix__x2bx7c
Perl6::Grammar/infix:sym<+^>	g_infix__x2bx5e
Perl6::Grammar/infix:sym<~|>	g_infix__x7ex7c
Perl6::Grammar/infix:sym<~^>	g_infix__x7ex5e
Perl6::Grammar/infix:sym<?|>	g_infix__x3fx7c
Perl6::Grammar/infix:sym<?^>	g_infix__x3fx5e
Perl6::Grammar/infix:sym<x>	g_infix__x
Perl6::Grammar/infix:sym<xx>	g_infix__xx
Perl6::Grammar/infix:sym<~>	g_infix__x7e
Perl6::Grammar/infix:sym<.>	g_infix__x2e
Perl6::Grammar/infix:sym<∘>	g_infix__u2218
Perl6::Grammar/infix:sym<o>	g_infix__o
Perl6::Grammar/infix:sym<&>	g_infix__x26
Perl6::Grammar/infix:sym<(&)>	g_infix__x28x26x29
Perl6::Grammar/infix:sym«∩»	g_infix__u2229
Perl6::Grammar/infix:sym<(.)>	g_infix__x28x2ex29
Perl6::Grammar/infix:sym«⊍»	g_infix__u228d
Perl6::Grammar/infix:sym<|>	g_infix__x7c
Perl6::Grammar/infix:sym<^>	g_infix__x5e
Perl6::Grammar/infix:sym<(|)>	g_infix__x28x7cx29
Perl6::Grammar/infix:sym«∪»	g_infix__u222a
Perl6::Grammar/infix:sym<(^)>	g_infix__x28x5ex29
Perl6::Grammar/infix:sym«⊖»	g_infix__u2296
Perl6::Grammar/infix:sym<(+)>	g_infix__x28x2bx29
Perl6::Grammar/infix:sym«⊎»	g_infix__u228e
Perl6::Grammar/infix:sym<(-)>	g_infix__x28x2dx29
Perl6::Grammar/infix:sym«∖»	g_infix__u2216
Perl6::Grammar/prefix:sym<let>	g_prefix__let
Perl6::Grammar/prefix:sym<temp>	g_prefix__temp
Perl6::Grammar/infix:sym«=~=»	g_infix__x3dx7ex3d
Perl6::Grammar/infix:sym«≅»	g_infix__u2245
Perl6::Grammar/infix:sym«==»	g_infix__x3dx3d
Perl6::Grammar/infix:sym«⩵»	g_infix__u2a75
Perl6::Grammar/infix:sym«!=»	g_infix__x21x3d
Perl6::Grammar/infix:sym«≠»	g_infix__u2260
Perl6::Grammar/infix:sym«<=»	g_infix__x3cx3d
Perl6::Grammar/infix:sym«≤»	g_infix__u2264
Perl6::Grammar/infix:sym«>=»	g_infix__x3ex3d
Perl6::Grammar/infix:sym«≥»	g_infix__u2265
Perl6::Grammar/infix:sym«<»	g_infix__x3c
Perl6::Grammar/infix:sym«>»	g_infix__x3e
Perl6::Grammar/infix:sym«eq»	g_infix__eq
Perl6::Grammar/infix:sym«ne»	g_infix__ne
Perl6::Grammar/infix:sym«le»	g_infix__le
Perl6::Grammar/infix:sym«ge»	g_infix__ge
Perl6::Grammar/infix:sym«lt»	g_infix__lt
Perl6::Grammar/infix:sym«gt»	g_infix__gt
Perl6::Grammar/infix:sym«=:=»	g_infix__x3dx3ax3d
Perl6::Grammar/infix:sym<===>	g_infix__x3dx3dx3d
Perl6::Grammar/infix:sym<⩶>	g_infix__u2a76
Perl6::Grammar/infix:sym<eqv>	g_infix__eqv
Perl6::Grammar/infix:sym<before>	g_infix__before
Perl6::Grammar/infix:sym<after>	g_infix__after
Perl6::Grammar/infix:sym<~~>	g_infix__x7ex7e
Perl6::Grammar/infix:sym<!~~>	g_infix__x21x7ex7e
Perl6::Grammar/infix:sym<(elem)>	g_infix__x28elemx29
Perl6::Grammar/infix:sym«∈»	g_infix__u2208
Perl6::Grammar/infix:sym«∊»	g_infix__u220a
Perl6::Grammar/infix:sym«∉»	g_infix__u2209
Perl6::Grammar/infix:sym<(cont)>	g_infix__x28contx29
Perl6::Grammar/infix:sym«∋»	g_infix__u220b
Perl6::Grammar/infix:sym«∍»	g_infix__u220d
Perl6::Grammar/infix:sym«∌»	g_infix__u220c
Perl6::Grammar/infix:sym«(<)»	g_infix__x28x3cx29
Perl6::Grammar/infix:sym«⊂»	g_infix__u2282
Perl6::Grammar/infix:sym«⊄»	g_infix__u2284
Perl6::Grammar/infix:sym«(>)»	g_infix__x28x3ex29
Perl6::Grammar/infix:sym«⊃»	g_infix__u2283
Perl6::Grammar/infix:sym«⊅»	g_infix__u2285
Perl6::Grammar/infix:sym«(==)»	g_infix__x28x3dx3dx29
Perl6::Grammar/infix:sym«≡»	g_infix__u2261
Perl6::Grammar/infix:sym«≢»	g_infix__u2262
Perl6::Grammar/infix:sym«(<=)»	g_infix__x28x3cx3dx29
Perl6::Grammar/infix:sym«⊆»	g_infix__u2286
Perl6::Grammar/infix:sym«⊈»	g_infix__u2288
Perl6::Grammar/infix:sym«(>=)»	g_infix__x28x3ex3dx29
Perl6::Grammar/infix:sym«⊇»	g_infix__u2287
Perl6::Grammar/infix:sym«⊉»	g_infix__u2289
Perl6::Grammar/infix:sym«(<+)»	g_infix__x28x3cx2bx29
Perl6::Grammar/infix:sym«≼»	g_infix__u227c
Perl6::Grammar/infix:sym«(>+)»	g_infix__x28x3ex2bx29
Perl6::Grammar/infix:sym«≽»	g_infix__u227d
Perl6::Grammar/infix:sym<&&>	g_infix__x26x26
Perl6::Grammar/infix:sym<||>	g_infix__x7cx7c
Perl6::Grammar/infix:sym<^^>	g_infix__x5ex5e
Perl6::Grammar/infix:sym<//>	g_infix__x2fx2f
Perl6::Grammar/infix:sym<min>	g_infix__min
Perl6::Grammar/infix:sym<max>	g_infix__max
Perl6::Grammar/infix:sym<?? !!>	g_infix__x3fx3fx20x21x21
Perl6::Grammar/infix_prefix_meta_operator:sym<!>	g_infix_prefix_meta_operator__x21
Perl6::Grammar/infix_prefix_meta_operator:sym<R>	g_infix_prefix_meta_operator__R
Perl6::Grammar/infix_prefix_meta_operator:sym<S>	g_infix_prefix_meta_operator__S
Perl6::Grammar/infix_prefix_meta_operator:sym<X>	g_infix_prefix_meta_operator__X
Perl6::Grammar/infix_prefix_meta_operator:sym<Z>	g_infix_prefix_meta_operator__Z
Perl6::Grammar/infix:sym<minmax>	g_infix__minmax
Perl6::Grammar/infix:sym<:=>	g_infix__x3ax3d
Perl6::Grammar/infix:sym<::=>	g_infix__x3ax3ax3d
Perl6::Grammar/infix:sym<.=>	g_infix__x2ex3d
Perl6::Grammar/infix_postfix_meta_operator:sym<=>	g_infix_postfix_meta_operator__x3d
Perl6::Grammar/infix:sym«=>»	g_infix__x3dx3e
Perl6::Grammar/infix:sym<⇒>	g_infix__u21d2
Perl6::Grammar/prefix:sym<so>	g_prefix__so
Perl6::Grammar/prefix:sym<not>	g_prefix__not
Perl6::Grammar/infix:sym<,>	g_infix__x2c
Perl6::Grammar/infix:sym<:>	g_infix__x3a
Perl6::Grammar/infix:sym<Z>	g_infix__Z
Perl6::Grammar/infix:sym<X>	g_infix__X
Perl6::Grammar/infix:sym<...>	g_infix__x2ex2ex2e
Perl6::Grammar/infix:sym<…>	g_infix__u2026
Perl6::Grammar/infix:sym<...^>	g_infix__x2ex2ex2ex5e
Perl6::Grammar/infix:sym<…^>	g_infix__u2026x5e
Perl6::Grammar/infix:sym<^...>	g_infix__x5ex2ex2ex2e
Perl6::Grammar/infix:sym<^…>	g_infix__x5eu2026
Perl6::Grammar/infix:sym<^...^>	g_infix__x5ex2ex2ex2ex5e
Perl6::Grammar/infix:sym<^…^>	g_infix__x5eu2026x5e
Perl6::Grammar/infix:sym<?>	g_infix__x3f
Perl6::Grammar/infix:sym<ff>	g_infix__ff
Perl6::Grammar/infix:sym<^ff>	g_infix__x5eff
Perl6::Grammar/infix:sym<ff^>	g_infix__ffx5e
Perl6::Grammar/infix:sym<^ff^>	g_infix__x5effx5e
Perl6::Grammar/infix:sym<fff>	g_infix__fff
Perl6::Grammar/infix:sym<^fff>	g_infix__x5efff
Perl6::Grammar/infix:sym<fff^>	g_infix__fffx5e
Perl6::Grammar/infix:sym<^fff^>	g_infix__x5efffx5e
Perl6::Grammar/infix:sym<=>	g_infix__x3d
Perl6::Grammar/infix:sym<⚛=>	g_infix__u269bx3d
Perl6::Grammar/infix:sym<⚛+=>	g_infix__u269bx2bx3d
Perl6::Grammar/infix:sym<⚛-=>	g_infix__u269bx2dx3d
Perl6::Grammar/infix:sym<⚛−=>	g_infix__u269bu2212x3d
Perl6::Grammar/infix:sym<and>	g_infix__and
Perl6::Grammar/infix:sym<andthen>	g_infix__andthen
Perl6::Grammar/infix:sym<notandthen>	g_infix__notandthen
Perl6::Grammar/infix:sym<or>	g_infix__or
Perl6::Grammar/infix:sym<xor>	g_infix__xor
Perl6::Grammar/infix:sym<orelse>	g_infix__orelse
Perl6::Grammar/infix:sym«<==»	g_infix__x3cx3dx3d
Perl6::Grammar/infix:sym«==>»	g_infix__x3dx3dx3e
Perl6::Grammar/infix:sym«<<==»	g_infix__x3cx3cx3dx3d
Perl6::Grammar/infix:sym«==>>»	g_infix__x3dx3dx3ex3e
Perl6::Grammar/infix:sym<..>	g_infix__x2ex2e
Perl6::Grammar/infix:sym<^..>	g_infix__x5ex2ex2e
Perl6::Grammar/infix:sym<..^>	g_infix__x2ex2ex5e
Perl6::Grammar/infix:sym<^..^>	g_infix__x5ex2ex2ex5e
Perl6::Grammar/infix:sym<leg>	g_infix__leg
Perl6::Grammar/infix:sym<cmp>	g_infix__cmp
Perl6::Grammar/infix:sym<unicmp>	g_infix__unicmp
Perl6::Grammar/infix:sym<coll>	g_infix__coll
Perl6::Grammar/infix:sym«<=>»	g_infix__x3cx3dx3e
Perl6::Grammar/infix:sym<but>	g_infix__but
Perl6::Grammar/infix:sym<does>	g_infix__does
Perl6::Grammar/infix:sym<!~>	g_infix__x21x7e
Perl6::Grammar/infix:sym<=~>	g_infix__x3dx7e
Perl6::Grammar/comment	g_comment
Perl6::Grammar/comment:sym<#>	g_comment__x23
Perl6::Grammar/comment:sym<#`>	g_comment__x23x60
Perl6::Grammar/comment:sym<#`(...)>	g_comment__x23x60x28x2ex2ex2ex29
Perl6::Grammar/comment:sym<#|(...)>	g_comment__x23x7cx28x2ex2ex2ex29
Perl6::Grammar/comment:sym<#|>	g_comment__x23x7c
Perl6::Grammar/comment:sym<#=(...)>	g_comment__x23x3dx28x2ex2ex2ex29
Perl6::Grammar/comment:sym<#=>	g_comment__x23x3d
Perl6::Grammar/pod_content_toplevel	g_pod_content_toplevel
Perl6::Grammar/pod_content	g_pod_content
Perl6::Grammar/pod_content:sym<block>	g_pod_content__block
Perl6::Grammar/pod_content:sym<text>	g_pod_content__text
Perl6::Grammar/pod_content:sym<config>	g_pod_content__config
Perl6::Grammar/pod_textcontent	g_pod_textcontent
Perl6::Grammar/pod_textcontent:sym<regular>	g_pod_textcontent__regular
Perl6::Grammar/pod_textcontent:sym<code>	g_pod_textcontent__code
Perl6::Grammar/pod_formatting_code	g_pod_formatting_code
Perl6::Grammar/pod_balanced_braces	g_pod_balanced_braces
Perl6::Grammar/pod_string	g_pod_string
Perl6::Grammar/pod_string_character	g_pod_string_character
Perl6::Grammar/pod_block	g_pod_block
Perl6::Grammar/pod_configuration	g_pod_configuration
Perl6::Grammar/pod_block:sym<delimited_comment>	g_pod_block__delimited_comment
Perl6::Grammar/pod_block:sym<delimited>	g_pod_block__delimited
Perl6::Grammar/pod_block:sym<delimited_table>	g_pod_block__delimited_table
Perl6::Grammar/pod-delim-code-typ	g_podx2ddelimx2dcodex2dtyp
Perl6::Grammar/pod_block:sym<delimited_code>	g_pod_block__delimited_code
Perl6::Grammar/delimited_code_content	g_delimited_code_content
Perl6::Grammar/table_row	g_table_row
Perl6::Grammar/table_row_or_blank	g_table_row_or_blank
Perl6::Grammar/pod_block:sym<finish>	g_pod_block__finish
Perl6::Grammar/pod_block:sym<paragraph>	g_pod_block__paragraph
Perl6::Grammar/pod_block:sym<paragraph_comment>	g_pod_block__paragraph_comment
Perl6::Grammar/pod_block:sym<paragraph_table>	g_pod_block__paragraph_table
Perl6::Grammar/pod_block:sym<paragraph_code>	g_pod_block__paragraph_code
Perl6::Grammar/numbered-alias	g_numberedx2dalias
Perl6::Grammar/pod_block:sym<abbreviated>	g_pod_block__abbreviated
Perl6::Grammar/pod_block:sym<abbreviated_comment>	g_pod_block__abbreviated_comment
Perl6::Grammar/pod_block:sym<abbreviated_table>	g_pod_block__abbreviated_table
Perl6::Grammar/pod_block:sym<abbreviated_code>	g_pod_block__abbreviated_code
Perl6::Grammar/pod_line	g_pod_line
Perl6::Grammar/pod_newline	g_pod_newline
Perl6::Grammar/pod_code_parent	g_pod_code_parent
Perl6::QGrammar/escape	q_escape
Perl6::QGrammar/backslash	q_backslash
Perl6::QGrammar/b1/escape:sym<\\>	q_b1_escape__x5cx5c
Perl6::QGrammar/b1/backslash:sym<qq>	q_b1_backslash__qq
Perl6::QGrammar/b1/backslash:sym<\\>	q_b1_backslash__x5cx5c
Perl6::QGrammar/b1/backslash	q_b1_backslash
Perl6::QGrammar/b1/backslash:sym<a>	q_b1_backslash__a
Perl6::QGrammar/b1/backslash:sym<b>	q_b1_backslash__b
Perl6::QGrammar/b1/backslash:sym<c>	q_b1_backslash__c
Perl6::QGrammar/b1/backslash:sym<e>	q_b1_backslash__e
Perl6::QGrammar/b1/backslash:sym<f>	q_b1_backslash__f
Perl6::QGrammar/b1/backslash:sym<N>	q_b1_backslash__N
Perl6::QGrammar/b1/backslash:sym<n>	q_b1_backslash__n
Perl6::QGrammar/b1/backslash:sym<o>	q_b1_backslash__o
Perl6::QGrammar/b1/backslash:sym<r>	q_b1_backslash__r
Perl6::QGrammar/b1/backslash:sym<rn>	q_b1_backslash__rn
Perl6::QGrammar/b1/backslash:sym<t>	q_b1_backslash__t
Perl6::QGrammar/b1/backslash:sym<x>	q_b1_backslash__x
Perl6::QGrammar/b1/backslash:sym<0>	q_b1_backslash__0
Perl6::QGrammar/b1/backslash:sym<1>	q_b1_backslash__1
Perl6::QGrammar/b1/backslash:sym<unrec>	q_b1_backslash__unrec
Perl6::QGrammar/b1/backslash:sym<misc>	q_b1_backslash__misc
Perl6::QGrammar/b0/escape:sym<\\>	q_b0_escape__x5cx5c
Perl6::QGrammar/c1/escape:sym<{ }>	q_c1_escape__x7bx20x7d
Perl6::QGrammar/c0/escape:sym<{ }>	q_c0_escape__x7bx20x7d
Perl6::QGrammar/s1/escape:sym<$>	q_s1_escape__x24
Perl6::QGrammar/s0/escape:sym<$>	q_s0_escape__x24
Perl6::QGrammar/a1/escape:sym<@>	q_a1_escape__x40
Perl6::QGrammar/a0/escape:sym<@>	q_a0_escape__x40
Perl6::QGrammar/h1/escape:sym<%>	q_h1_escape__x25
Perl6::QGrammar/h0/escape:sym<%>	q_h0_escape__x25
Perl6::QGrammar/f1/escape:sym<&>	q_f1_escape__x26
Perl6::QGrammar/f0/escape:sym<&>	q_f0_escape__x26
Perl6::QGrammar/ww/escape:sym<'>	q_ww_escape__x27
Perl6::QGrammar/ww/escape:sym<colonpair>	q_ww_escape__colonpair
Perl6::QGrammar/ww/escape:sym<#>	q_ww_escape__x23
Perl6::QGrammar/q/starter	q_q_starter
Perl6::QGrammar/q/stopper	q_q_stopper
Perl6::QGrammar/q/escape:sym<\\>	q_q_escape__x5cx5c
Perl6::QGrammar/q/backslash:sym<qq>	q_q_backslash__qq
Perl6::QGrammar/q/backslash:sym<\\>	q_q_backslash__x5cx5c
Perl6::QGrammar/q/backslash	q_q_backslash
Perl6::QGrammar/q/backslash:sym<miscq>	q_q_backslash__miscq
Perl6::QGrammar/qq/starter	q_qq_starter
Perl6::QGrammar/qq/stopper	q_qq_stopper
Perl6::QGrammar/nibbler	q_nibbler
Perl6::QGrammar/do_nibbling	q_do_nibbling
Perl6::QGrammar/cc/starter	q_cc_starter
Perl6::QGrammar/cc/stopper	q_cc_stopper
Perl6::QGrammar/cc/escape	q_cc_escape
Perl6::QGrammar/cc/escape:sym<#>	q_cc_escape__x23
Perl6::QGrammar/cc/escape:sym<\\>	q_cc_escape__x5cx5c
Perl6::QGrammar/cc/escape:sym<..>	q_cc_escape__x2ex2e
Perl6::QGrammar/cc/escape:sym<->	q_cc_escape__x2d
Perl6::QGrammar/cc/backslash	q_cc_backslash
Perl6::QGrammar/cc/backslash:sym<\\>	q_cc_backslash__x5cx5c
Perl6::QGrammar/cc/backslash:sym<a>	q_cc_backslash__a
Perl6::QGrammar/cc/backslash:sym<b>	q_cc_backslash__b
Perl6::QGrammar/cc/backslash:sym<c>	q_cc_backslash__c
Perl6::QGrammar/cc/backslash:sym<d>	q_cc_backslash__d
Perl6::QGrammar/cc/backslash:sym<e>	q_cc_backslash__e
Perl6::QGrammar/cc/backslash:sym<f>	q_cc_backslash__f
Perl6::QGrammar/cc/backslash:sym<h>	q_cc_backslash__h
Perl6::QGrammar/cc/backslash:sym<N>	q_cc_backslash__N
Perl6::QGrammar/cc/backslash:sym<n>	q_cc_backslash__n
Perl6::QGrammar/cc/backslash:sym<o>	q_cc_backslash__o
Perl6::QGrammar/cc/backslash:sym<r>	q_cc_backslash__r
Perl6::QGrammar/cc/backslash:sym<s>	q_cc_backslash__s
Perl6::QGrammar/cc/backslash:sym<t>	q_cc_backslash__t
Perl6::QGrammar/cc/backslash:sym<v>	q_cc_backslash__v
Perl6::QGrammar/cc/backslash:sym<w>	q_cc_backslash__w
Perl6::QGrammar/cc/backslash:sym<x>	q_cc_backslash__x
Perl6::QGrammar/cc/backslash:sym<0>	q_cc_backslash__0
Perl6::RegexGrammar/normspace	rx_normspace
Perl6::RegexGrammar/rxstopper	rx_rxstopper
Perl6::RegexGrammar/metachar:sym<:my>	rx_metachar__x3amy
Perl6::RegexGrammar/metachar:sym<{ }>	rx_metachar__x7bx20x7d
Perl6::RegexGrammar/metachar:sym<rakvar>	rx_metachar__rakvar
Perl6::RegexGrammar/metachar:sym<qw>	rx_metachar__qw
Perl6::RegexGrammar/metachar:sym<'>	rx_metachar__x27
Perl6::RegexGrammar/metachar:sym<{}>	rx_metachar__x7bx7d
Perl6::RegexGrammar/backslash:sym<1>	rx_backslash__1
Perl6::RegexGrammar/assertion:sym<{ }>	rx_assertion__x7bx20x7d
Perl6::RegexGrammar/assertion:sym<?{ }>	rx_assertion__x3fx7bx20x7d
Perl6::RegexGrammar/assertion:sym<!{ }>	rx_assertion__x21x7bx20x7d
Perl6::RegexGrammar/assertion:sym<var>	rx_assertion__var
Perl6::RegexGrammar/assertion:sym<~~>	rx_assertion__x7ex7e
Perl6::RegexGrammar/codeblock	rx_codeblock
Perl6::RegexGrammar/arglist	rx_arglist
Perl6::RegexGrammar/assertion:sym<name>	rx_assertion__name
Perl6::P5RegexGrammar/rxstopper	p5_rxstopper
Perl6::P5RegexGrammar/p5metachar:sym<(?{ })>	p5_p5metachar__x28x3fx7bx20x7dx29
Perl6::P5RegexGrammar/p5metachar:sym<(??{ })>	p5_p5metachar__x28x3fx3fx7bx20x7dx29
Perl6::P5RegexGrammar/p5metachar:sym<var>	p5_p5metachar__var
Perl6::P5RegexGrammar/codeblock	p5_codeblock
