# gc_census_baseline.tsv -- the counts THE COLLECTOR GUESSES NOTHING drives to 0 (coo, CEO-818/819 section 7).
# Written by `util_gc_census.py all --write-baseline`; every landing that lowers a count rewrites this file
# in the same sitting -- test_gate_gc_instrument_censuses_are_wired_and_trip.sh reds on an increase AND on an
# unrecorded fall.  census	key	count	want
conservative	gc_zeta_frame_calls	12	0
conservative	cons_stack_uses	8	0
conservative	rt_cas_live_span_uses	2	0
conservative	hb_scan_interior_uses	2	0
allocator	rt_gc_collect_calls_in_the_allocator	3	0
safe-points	unpolled	202	0
safe-points	unresolved	39	0
callbacks	unwrapped	63	0
coverage	red	1	0
